,1st,2nd,3rd,Events,Name,Average Score,Rounds,Total Adjustment,Total Strokes,Average Drive,Driving Percentage,Fairways Hit,Possible Fairways,Greens Percentage,SG: Tee-to-Green,SG: Total,SG: Putting,Scrambling %
40,1.0,0.0,0.0,17.0,Russell Henley,70.023,59.0,11.286,3980.0,297.3,63.35,503.0,794.0,68.52,0.743,1.304,0.561,59.44
41,0.0,1.0,0.0,20.0,Charley Hoffman,71.024,68.0,-7.487,4553.0,294.6,58.08,521.0,897.0,66.06,0.773,0.556,-0.218,54.48
42,0.0,1.0,0.0,20.0,Chris Kirk,71.152,63.0,27.284,4313.0,286.5,63.92,544.0,851.0,68.03,-0.049,-0.003,0.047,56.98
43,0.0,0.0,1.0,16.0,Russell Knox,70.892,51.0,17.048,3244.0,286.1,68.73,444.0,646.0,67.39,0.059,-0.265,-0.324,59.63
44,1.0,0.0,0.0,15.0,Marc Leishman,69.825,56.0,-0.117,3631.0,297.7,59.2,431.0,728.0,67.52,1.001,1.388,0.388,61.18
45,0.0,1.0,1.0,22.0,Luke List,70.299,72.0,26.527,5035.0,311.4,54.38,546.0,1004.0,68.44,1.068,0.963,-0.104,59.17
46,0.0,0.0,0.0,19.0,Jamie Lovemark,70.597,65.0,15.581,4432.0,301.9,55.13,484.0,878.0,66.05,0.796,0.795,-0.001,61.56
47,0.0,0.0,1.0,19.0,William McGirt,71.078,62.0,11.36,3969.0,285.4,70.27,553.0,787.0,67.86,0.159,0.109,-0.049,59.57
48,0.0,0.0,0.0,16.0,Kevin Na,71.017,50.0,19.765,3247.0,284.3,58.1,373.0,642.0,64.98,0.546,0.571,0.026,62.76
49,0.0,0.0,0.0,23.0,Seung-Yul Noh,71.111,71.0,13.692,4893.0,297.2,51.71,498.0,963.0,64.49,-0.211,0.146,0.357,59.41
50,0.0,0.0,0.0,19.0,Chez Reavie,70.551,62.0,14.48,4148.0,281.7,69.43,570.0,821.0,66.2,0.321,0.605,0.283,62.4
51,0.0,1.0,1.0,11.0,Charl Schwartzel,70.329,37.0,-21.811,2413.0,295.0,55.51,262.0,472.0,61.11,0.178,0.812,0.635,61.34
52,1.0,0.0,0.0,19.0,Cameron Smith,70.777,68.0,15.707,4514.0,292.1,55.89,498.0,891.0,63.98,0.567,0.826,0.26,60.24
53,0.0,0.0,0.0,13.0,Brandt Snedeker,70.348,45.0,6.607,2948.0,281.3,61.93,366.0,591.0,65.87,0.239,0.749,0.51,63.18
54,0.0,0.0,0.0,21.0,J.J. Spaun,70.883,66.0,24.503,4512.0,290.8,64.05,572.0,893.0,67.1,0.054,0.284,0.23,60.16
55,1.0,0.0,0.0,19.0,Hudson Swafford,70.921,60.0,9.57,3962.0,303.0,60.64,473.0,780.0,68.55,0.202,0.236,0.034,57.1
56,0.0,0.0,0.0,21.0,Nick Taylor,70.831,73.0,14.982,5014.0,291.0,60.06,594.0,989.0,65.96,0.489,0.359,-0.131,62.53
57,0.0,0.0,2.0,18.0,Kevin Tway,71.059,62.0,17.393,4104.0,306.4,53.51,434.0,811.0,64.85,0.374,0.615,0.241,61.04
58,0.0,0.0,0.0,12.0,Bubba Watson,72.119,37.0,-3.538,2095.0,305.3,62.25,254.0,408.0,62.45,0.284,-0.035,-0.32,54.08
59,0.0,0.0,0.0,16.0,Aaron Baddeley,71.728,48.0,9.922,3433.0,290.9,52.52,354.0,674.0,62.38,-0.086,-0.054,0.033,61.23
60,0.0,2.0,0.0,21.0,Scott Brown,71.094,69.0,8.129,4613.0,287.2,63.18,573.0,907.0,64.53,-0.365,-0.223,0.141,57.83
61,0.0,0.0,0.0,21.0,Chad Campbell,70.676,69.0,23.666,4853.0,283.4,66.84,643.0,962.0,67.87,0.692,0.335,-0.357,66.17
62,0.0,1.0,1.0,7.0,Patrick Cantlay,70.091,28.0,-6.826,1689.0,294.5,63.75,211.0,331.0,68.06,1.161,1.583,0.421,57.97
63,0.0,1.0,0.0,11.0,Jason Day,70.603,39.0,-8.497,2409.0,298.8,57.41,275.0,479.0,64.87,0.716,0.985,0.269,60.47
64,1.0,0.0,0.0,15.0,Jason Dufner,70.097,55.0,-6.331,3371.0,290.9,66.22,445.0,672.0,67.59,1.019,1.303,0.284,59.29
65,0.0,0.0,0.0,19.0,Harris English,71.147,58.0,4.941,3837.0,297.1,48.4,364.0,752.0,62.04,-0.463,-0.134,0.329,60.7
